Rank,Team,Record,Points
1,Stanford,21-0,770
2,Saint Joseph's,22-0,744
3,Duke,21-2,702
4,Pittsburgh,23-2,662
5,Mississippi State,21-1,655
6,Gonzaga,21-2,626
7,Oklahoma State,19-2,594
8,Connecticut,19-5,532
9,Kentucky,17-4,490
10,Wisconsin,17-4,484
11,Louisville,17-4,444
12,Texas,17-4,432
13,Arizona,16-6,397
14,Cincinnati,17-4,356
15,Wake Forest,15-6,317
16,Georgia Tech,18-6,242
17,Providence,17-5,228
18,North Carolina State,16-5,222
19,North Carolina,15-7,186
20,Kansas,15-6,184
21,Southern Illinois,20-2,164
22,South Carolina,20-5,126
23,Texas Tech,18-6,111
24,Syracuse,16-5,82
25,Utah State,20-2,59
