Rank,Team,Record,Points
1,Memphis,21-0,775
2,Duke,19-1,727
3,North Carolina,21-1,709
4,UCLA,20-2,669
5,Kansas,21-1,668
6,Georgetown,18-2,626
7,Tennessee,19-2,590
8,Wisconsin,18-3,517
9,Stanford,18-3,504
10,Michigan State,19-3,466
11,Butler,19-2,453
12,Texas,17-4,391
13,Indiana,18-3,364
14,Xavier,18-4,338
15,Drake,20-1,334
16,Marquette,16-4,317
17,Washington State,17-4,310
18,Texas A&M,18-4,227
19,Connecticut,16-5,192
20,Vanderbilt,18-4,121
21,Notre Dame,16-4,107
22,Florida,18-4,106
23,Saint Mary's,18-3,96
24,Kansas State,15-5,91
25,Pittsburgh,17-5,72
