Rank,Team,Record,Points
1,Stanford,21-0,1791
2,Saint Joseph's,22-0,1721
3,Duke,21-2,1613
4,Mississippi State,21-1,1541
5,Pittsburgh,23-2,1491
6,Gonzaga,21-2,1481
7,Oklahoma State,19-2,1394
8,Connecticut,19-5,1225
9,Kentucky,17-4,1153
10,Louisville,17-4,1005
11,Texas,17-4,964
12,Wisconsin,17-4,915
13,North Carolina State,16-5,884
14,Arizona,16-6,869
15,Wake Forest,15-6,652
16,North Carolina,15-7,638
17,Cincinnati,17-4,620
18,Georgia Tech,18-6,580
19,Providence,17-5,441
20,Southern Illinois,20-2,376
21,Kansas,15-6,319
22,Texas Tech,18-6,244
23,Memphis,18-4,240
24,LSU,17-4,227
25,South Carolina,20-5,213
