Rank,Team,Record,Points
1,Illinois,25-0,775
2,Kansas,20-1,735
3,Kentucky,19-2,681
4,North Carolina,20-3,671
5,Wake Forest,21-3,669
6,Boston College,20-1,604
7,Oklahoma State,19-3,584
8,Duke,18-3,541
9,Syracuse,22-3,536
10,Michigan State,17-4,482
11,Arizona,21-4,477
12,Louisville,21-4,426
13,Utah,21-3,365
14,Washington,20-4,365
15,Pittsburgh,17-4,352
16,Gonzaga,19-4,297
17,Alabama,19-4,284
18,Connecticut,15-6,265
19,Pacific,20-2,191
20,Wisconsin,16-6,138
21,Cincinnati,18-6,103
22,Oklahoma,17-6,92
23,Charlotte,17-4,69
24,Florida,15-6,59
25,Texas Tech,15-6,49
