Rank,Team,Record,Points
1,Kentucky,23-1,1623
2,Syracuse,23-1,1553
3,Ohio State,20-3,1493
4,Missouri,21-2,1415
5,North Carolina,20-3,1352
6,Baylor,21-2,1318
7,Kansas,18-5,1170
8,Florida,19-4,1066
9,Murray State,23-0,1055
10,Duke,19-4,1037
11,Michigan State,18-5,1032
12,Georgetown,18-4,919
13,San Diego State,20-3,728
14,UNLV,21-4,702
15,Florida State,16-6,694
16,Saint Mary's,22-2,635
17,Creighton,21-3,600
18,Marquette,19-5,469
19,Virginia,18-4,448
20,Mississippi State,18-5,401
21,Wisconsin,18-6,384
22,Michigan,17-7,253
23,Indiana,18-6,227
24,Louisville,18-5,112
25,Harvard,20-2,105
