Rank,Team,Record,Points
1,Arizona,18-2,1753
2,Louisville,18-1,1706
3,Kentucky,18-3,1664
4,Florida,19-3,1533
5,Oklahoma,16-3,1507
6,Texas,15-4,1377
7,Pittsburgh,16-3,1330
8,Duke,16-3,1287
9,Kansas,17-5,1220
10,Notre Dame,19-4,1213
11,Marquette,17-3,999
12,Creighton,21-2,997
13,Oklahoma State,18-3,873
14,Illinois,16-4,848
15,Wake Forest,16-3,707
16,Maryland,14-6,701
17,Syracuse,16-3,651
18,Xavier,17-4,620
19,Mississippi State,15-5,430
20,Georgia,13-6,314
21,Missouri,14-5,283
22,California,16-4,256
23,Connecticut,14-5,236
24,Stanford,17-6,148
25,Saint Joseph's,17-3,138
