Rank,Team,Record,Points
1,Florida,21-2,774
2,UCLA,20-2,718
3,Ohio State,20-3,714
4,Wisconsin,22-2,662
5,North Carolina,20-3,631
6,Pittsburgh,20-3,624
7,Texas A&M,19-3,618
8,Kansas,19-4,518
9,Butler,22-2,510
10,Memphis,19-3,494
11,Nevada,21-2,450
12,Marquette,20-4,433
13,Air Force,20-3,388
14,Washington State,19-4,372
15,Oregon,19-4,351
16,Duke,18-5,282
17,Oklahoma State,18-4,219
18,Kentucky,17-5,204
19,Alabama,17-5,144
20,Southern Illinois,19-5,132
21,USC,18-6,89
22,Notre Dame,18-5,89
23,Georgetown,16-5,76
24,Indiana,16-6,74
25,Texas,16-6,58
