Rank,Team,Conf,BPI,PVA,Conf_rk,Record,RAW,RAW_rk,SOS,SOS_rk,Var,Var_rk
1,Kentucky,SEC,92.4,20.1,1,32-2,81.6,1,60.7,61,5.0,344
2,Syracuse,Big East,90.2,17.8,1,31-2,76.8,3,63.4,39,5.9,343
3,Ohio State,Big Ten,88.6,16.5,1,27-7,75.9,7,62.8,43,9.6,336
4,North Carolina,ACC,88.4,16.4,1,29-5,76.5,4,62.0,51,9.3,339
5,Kansas,Big 12,87.7,15.8,1,27-6,73.0,14,64.8,18,9.3,338
6,Michigan State,Big Ten,87.4,15.6,2,27-7,73.9,10,63.5,37,10.3,332
7,Missouri,Big 12,85.7,14.4,2,30-4,76.3,5,59.5,72,11.6,330
8,Duke,ACC,85.4,14.2,2,27-6,67.6,35,67.8,3,10.2,334
9,Memphis,C-USA,83.6,13.1,1,26-8,71.5,17,62.1,49,12.8,315
10,Wichita State,MVC,83.3,12.9,1,27-5,76.0,6,57.3,99,12.7,316
11,Louisville,Big East,82.5,12.5,2,26-9,66.0,46,66.5,7,12.8,313
12,Indiana,Big Ten,82.1,12.2,3,25-8,69.3,28,62.7,44,14.5,295
13,Wisconsin,Big Ten,81.7,12.0,4,24-9,68.0,34,63.7,32,14.3,299
14,Baylor,Big 12,81.7,12.0,3,27-7,67.2,40,64.5,23,12.2,324
15,Florida,SEC,80.8,11.5,2,23-10,67.0,42,63.8,29,15.1,283
16,Marquette,Big East,80.7,11.5,3,25-7,66.9,43,63.8,30,13.7,308
17,Vanderbilt,SEC,80.2,11.3,3,24-10,65.7,47,64.5,22,16.4,250
18,Georgetown,Big East,80.2,11.2,4,23-8,67.2,39,63.0,42,15.9,265
19,Saint Louis,A 10,79.9,11.1,1,25-7,73.9,11,56.0,107,17.5,213
20,Gonzaga,WCC,79.2,10.8,1,25-6,72.2,15,57.0,103,12.2,323
21,New Mexico,MW,79.1,10.7,1,26-6,73.3,13,55.8,109,18.8,163
22,Creighton,MVC,78.4,10.4,2,28-5,70.1,22,58.3,87,14.1,300
23,Kansas State,Big 12,78.4,10.3,4,21-10,63.2,60,65.2,13,13.7,307
24,Texas,Big 12,78.0,10.2,5,20-13,59.9,83,68.1,1,13.4,311
25,Alabama,SEC,78.0,10.2,4,21-11,63.3,59,64.7,19,15.7,273
26,Virginia,ACC,77.9,10.1,3,22-9,67.4,36,60.5,64,13.6,309
27,Florida State,ACC,77.8,10.1,4,24-9,62.7,63,65.1,14,18.9,159
28,Temple,A 10,77.3,9.8,2,24-7,64.1,54,63.2,40,16.3,256
29,California,Pac-12,76.9,9.7,1,24-9,68.2,32,58.7,83,17.7,204
30,Iowa State,Big 12,76.4,9.4,6,22-10,61.7,72,64.7,20,15.9,263
31,Connecticut,Big East,76.0,9.3,5,20-13,58.2,104,67.8,2,17.3,226
32,Michigan,Big Ten,75.9,9.2,5,24-9,62.2,68,63.7,33,18.7,166
33,UNLV,MW,75.9,9.2,2,26-8,68.1,33,57.8,91,15.0,284
34,Cincinnati,Big East,75.1,8.9,6,24-10,61.5,73,63.6,35,15.6,276
35,Belmont,A-Sun,75.1,8.9,1,27-7,74.1,9,50.9,139,12.4,321
36,Arizona,Pac-12,74.5,8.6,2,23-11,63.6,56,60.8,60,15.1,282
37,Miami (FL),ACC,74.4,8.6,5,19-12,59.9,84,64.5,21,15.8,267
38,Saint Mary's,WCC,73.9,8.4,2,27-5,73.6,12,50.3,145,16.4,251
39,Purdue,Big Ten,73.8,8.3,6,21-12,58.9,95,64.9,17,18.5,175
40,NC State,ACC,73.7,8.3,6,22-12,58.2,103,65.5,12,15.4,278
41,Harvard,Ivy,73.6,8.2,1,26-4,74.4,8,49.2,160,14.6,293
42,West Virginia,Big East,73.6,8.2,7,19-13,58.6,98,64.9,16,20.7,78
43,San Diego State,MW,73.5,8.2,3,26-7,64.2,53,59.3,75,16.5,247
44,Long Beach St,Big West,73.3,8.1,1,25-8,71.1,18,52.2,126,12.9,312
45,Murray State,OVC,73.2,8.1,1,30-1,78.0,2,45.2,213,14.4,296
46,VCU,CAA,72.3,7.7,1,28-6,69.3,29,53.0,120,17.1,231
47,La Salle,A 10,71.9,7.5,3,21-12,63.6,57,58.3,86,14.6,292
48,Southern Miss,C-USA,71.7,7.5,2,25-8,63.1,61,58.6,84,14.7,291
49,Seton Hall,Big East,71.6,7.4,8,20-12,59.7,87,61.9,54,20.5,87
50,Northwestern,Big Ten,71.3,7.3,7,18-13,54.6,138,66.7,6,17.7,207
51,Iona,MAAC,71.3,7.3,1,25-7,70.0,23,51.3,135,17.5,216
52,Middle Tennessee,Sun Belt,71.2,7.3,1,25-6,71.1,19,50.2,147,15.7,272
53,BYU,WCC,71.1,7.2,3,25-8,69.0,30,52.1,130,18.4,180
54,Xavier,A 10,70.8,7.1,4,21-12,57.0,114,63.7,31,17.6,210
55,Saint Joseph's,A 10,70.7,7.1,5,20-13,58.6,99,62.0,50,19.3,142
56,Washington,Pac-12,70.5,7.0,3,21-10,59.0,94,61.6,56,16.7,243
57,Notre Dame,Big East,70.3,6.9,9,22-11,58.5,100,61.8,55,22.3,32
58,Stanford,Pac-12,70.3,6.9,4,21-11,62.3,66,57.9,89,20.0,117
59,Minnesota,Big Ten,70.2,6.9,8,19-14,53.9,142,66.3,8,16.9,236
60,Oregon,Pac-12,70.2,6.9,5,22-9,59.7,86,60.5,63,16.9,241
61,New Mexico St,WAC,70.1,6.8,1,26-9,69.5,26,50.6,143,17.6,212
62,Tennessee,SEC,70.0,6.8,5,18-14,56.8,119,63.2,41,19.1,152
63,Drexel,CAA,69.5,6.6,2,27-6,71.0,20,48.5,172,18.4,179
64,St. Bonaventure,A 10,69.4,6.6,6,20-11,60.4,78,59.1,78,19.6,130
65,Mississippi St,SEC,69.4,6.6,6,21-11,57.2,112,62.2,48,17.7,206
66,South Florida,Big East,69.4,6.6,10,20-13,55.5,127,63.9,27,19.7,123
67,Marshall,C-USA,68.9,6.4,3,21-13,56.3,123,62.7,45,17.2,229
68,Davidson,Southern,68.9,6.4,1,25-7,69.8,24,49.1,163,18.5,171
69,UCLA,Pac-12,68.7,6.3,6,19-14,58.3,102,60.5,62,18.3,186
70,Akron,MAC,68.7,6.3,1,22-11,63.4,58,55.3,113,16.9,239
71,Massachusetts,A 10,68.6,6.3,7,22-11,59.9,85,58.8,82,19.1,151
72,Denver,Sun Belt,68.5,6.2,2,22-9,68.7,31,49.8,153,19.5,131
73,Ohio,MAC,68.3,6.2,2,27-7,67.2,38,51.1,138,19.0,158
74,Virginia Tech,ACC,68.3,6.2,7,16-17,52.4,159,65.9,10,16.2,259
75,Dayton,A 10,67.6,5.9,8,20-12,58.4,101,59.2,77,24.3,7
76,Colorado State,MW,67.6,5.9,4,20-11,56.7,121,60.8,59,21.7,51
77,Illinois,Big Ten,67.4,5.8,9,17-15,50.3,175,67.1,5,17.2,230
78,Pittsburgh,Big East,66.8,5.6,11,17-16,52.5,157,64.4,25,22.4,30
79,South Dakota St,Summit,66.6,5.6,1,27-7,70.6,21,46.1,202,21.4,56
80,Ole Miss,SEC,66.4,5.5,7,20-13,51.4,167,65.0,15,17.4,219
81,UCF,C-USA,66.3,5.4,4,22-10,59.0,93,57.3,98,20.5,84
82,Tulsa,C-USA,66.1,5.4,5,17-14,56.2,125,59.8,70,17.4,217
83,Oregon State,Pac-12,65.9,5.3,7,19-14,58.9,96,57.0,104,19.2,148
84,Northern Iowa,MVC,65.6,5.2,3,19-13,56.3,124,59.3,76,22.6,28
85,Clemson,ACC,65.5,5.2,8,16-15,57.9,106,57.6,94,18.6,170
86,Wyoming,MW,65.4,5.1,5,20-11,63.0,62,52.4,124,20.0,114
87,Oral Roberts,Summit,65.4,5.1,2,27-6,65.5,48,49.9,151,15.8,270
88,Colorado,Pac-12,65.3,5.1,8,23-11,57.2,113,58.1,88,19.1,150
89,Villanova,Big East,64.9,4.9,12,13-19,47.8,206,67.1,4,18.1,193
90,LSU,SEC,64.3,4.7,8,18-14,51.8,164,62.6,46,20.4,96
91,Cleveland State,Horizon,63.9,4.6,1,22-10,62.6,64,51.3,136,23.8,8
92,Montana,Big Sky,63.8,4.5,1,25-6,69.5,25,44.2,228,18.1,192
93,Nevada,WAC,63.7,4.5,2,26-6,64.9,51,48.9,167,19.3,143
94,Lehigh,Patriot,63.7,4.5,1,26-7,72.0,16,41.7,273,16.6,245
95,Oklahoma State,Big 12,63.2,4.3,7,15-18,47.1,214,66.1,9,18.5,174
96,Illinois State,MVC,63.1,4.3,4,20-13,55.3,129,57.8,90,22.9,21
97,Buffalo,MAC,63.1,4.3,3,19-10,59.3,89,53.8,118,15.6,277
98,Bucknell,Patriot,63.0,4.3,2,24-9,66.8,44,46.1,201,14.8,289
99,Old Dominion,CAA,62.8,4.2,3,20-13,57.4,109,55.4,110,15.2,281
100,Georgia State,CAA,62.8,4.2,4,21-11,65.1,50,47.7,181,20.2,106
101,Wagner,NEC,62.7,4.2,1,25-6,69.5,27,43.3,242,16.9,235
102,Oklahoma,Big 12,62.7,4.2,8,15-16,49.0,188,63.7,34,19.8,122
103,George Mason,CAA,62.6,4.1,5,24-9,61.7,71,50.9,141,17.4,220
104,Missouri State,MVC,62.4,4.1,5,16-16,54.8,136,57.6,95,19.4,138
105,UNC Asheville,Big South,62.1,4.0,1,24-9,67.2,41,44.8,219,13.9,304
106,Kent State,MAC,61.9,3.9,4,21-11,60.1,82,51.7,132,17.6,211
107,Arkansas,SEC,61.4,3.7,9,18-14,51.3,168,60.1,68,22.9,23
108,Iowa,Big Ten,61.2,3.7,10,17-16,48.8,194,62.4,47,22.0,41
109,Lamar,Southland,61.1,3.6,1,23-11,65.3,49,45.8,208,19.1,154
110,Georgia,SEC,61.1,3.6,10,15-17,45.6,231,65.5,11,21.7,49
111,Weber State,Big Sky,61.0,3.6,2,24-6,67.3,37,43.6,236,16.9,238
112,Evansville,MVC,60.6,3.5,6,16-15,53.5,149,57.2,100,22.8,25
113,UC Santa Barbara,Big West,60.5,3.4,2,20-10,62.5,65,48.0,177,18.0,197
114,Maryland,ACC,60.5,3.4,9,17-15,46.4,222,64.0,26,17.9,199
115,Mercer,A-Sun,60.3,3.3,2,22-11,62.1,69,48.1,176,20.5,93
116,Loyola (MD),MAAC,59.9,3.2,2,24-8,62.0,70,47.9,179,18.4,181
117,TX-Arlington,Sun Belt,59.9,3.2,2,24-8,66.2,45,43.7,234,17.5,214
118,Princeton,Ivy,59.8,3.2,2,19-11,61.1,75,48.7,168,21.7,50
119,Richmond,A 10,59.6,3.1,9,16-16,50.8,170,58.8,80,22.8,24
120,Duquesne,A 10,59.5,3.1,10,16-15,50.2,176,59.4,74,24.7,5
121,Fairfield,MAAC,59.1,3.0,3,19-14,58.7,97,50.4,144,17.0,234
122,Texas A&M,Big 12,58.9,2.9,9,14-18,46.9,215,61.9,53,16.4,252
123,Rutgers,Big East,58.4,2.7,13,14-18,46.5,221,62.0,52,20.8,77
124,Detroit,Horizon,58.3,2.7,2,22-13,59.4,88,48.9,166,17.8,203
125,Bowling Green,MAC,58.0,2.6,5,16-15,55.1,131,52.8,123,19.1,153
126,Manhattan,MAAC,57.8,2.5,4,20-12,61.4,74,46.4,197,19.7,125
127,UTEP,C-USA,57.8,2.5,6,15-17,48.9,191,58.9,79,22.4,29
128,UAB,C-USA,57.6,2.5,7,15-16,46.7,220,60.9,57,22.0,42
129,Pennsylvania,Ivy,57.2,2.3,3,19-12,53.5,147,53.6,119,17.3,225
130,San Francisco,WCC,57.2,2.3,4,20-13,57.3,111,49.8,152,18.2,190
131,Washington St,Pac-12,57.0,2.3,9,15-16,51.6,166,55.4,111,19.5,134
132,Rice,C-USA,56.9,2.2,8,17-15,55.1,132,51.8,131,16.6,244
133,Drake,MVC,56.8,2.2,7,17-15,50.0,178,56.8,105,21.4,57
134,Auburn,SEC,56.5,2.1,11,15-16,47.1,213,59.4,73,21.1,67
135,Indiana State,MVC,56.5,2.1,8,18-14,50.6,173,55.9,108,23.5,10
136,Vermont,Am. East,56.3,2.0,1,23-11,64.7,52,41.6,275,18.5,176
137,Valparaiso,Horizon,56.3,2.0,3,22-11,56.9,116,49.4,158,23.0,20
138,East Carolina,C-USA,56.2,2.0,9,15-16,53.9,145,52.4,125,19.4,137
139,Providence,Big East,56.1,2.0,14,15-17,46.1,228,60.0,69,18.1,194
140,Loyola Mary,WCC,56.0,1.9,5,19-12,55.1,133,50.9,140,21.1,66
141,Butler,Horizon,55.5,1.8,4,20-14,53.9,144,51.6,134,22.0,40
142,Utah State,WAC,55.4,1.7,3,17-15,55.2,130,50.2,146,23.3,13
143,Penn State,Big Ten,55.2,1.7,11,12-20,41.7,264,63.5,36,19.2,147
144,Robert Morris,NEC,54.9,1.6,2,24-10,60.3,80,44.7,223,18.3,183
145,Charleston,Southern,54.8,1.6,2,19-12,55.5,128,49.4,159,26.5,1
146,Nebraska,Big Ten,54.8,1.5,12,12-18,40.9,268,63.8,28,20.4,98
147,TCU,MW,54.5,1.4,6,17-14,46.9,217,57.6,96,19.9,118
148,Milwaukee,Horizon,54.1,1.3,5,20-13,54.2,139,49.9,150,22.4,31
149,Boise State,MW,54.1,1.3,7,13-17,47.7,207,56.4,106,20.5,85
150,Charlotte,A 10,53.9,1.3,11,13-17,46.8,218,57.1,102,18.5,178
151,St. John's,Big East,53.6,1.2,15,13-19,39.2,279,64.4,24,20.0,116
152,LIU Brooklyn,NEC,53.4,1.1,3,25-8,61.1,76,42.4,258,20.1,109
153,Stony Brook,Am. East,52.8,0.9,2,22-9,63.9,55,38.9,309,21.7,48
154,South Carolina,SEC,52.8,0.9,12,10-21,39.3,278,63.5,38,17.9,198
