Rank,Team,Record,Points
1,Florida,21-2,1800
2,UCLA,20-2,1657
3,Ohio State,20-3,1655
4,Wisconsin,22-2,1592
5,North Carolina,20-3,1507
6,Texas A&M,19-3,1422
7,Pittsburgh,20-3,1418
8,Memphis,19-3,1242
9,Kansas,19-4,1226
10,Butler,22-2,1107
11,Marquette,20-4,1102
12,Nevada,21-2,919
13,Oregon,19-4,853
14,Washington State,19-4,820
15,Air Force,20-3,763
16,Duke,18-5,700
17,Oklahoma State,18-4,667
18,Alabama,17-5,438
19,USC,18-6,306
20,Kentucky,17-5,282
21,Southern Illinois,19-5,246
22,Georgetown,16-5,230
23,Vanderbilt,16-7,196
24,Arizona,15-7,151
25,Stanford,15-6,144
