Rank,Team,Record,Points
1,Memphis,21-0,1800
2,Duke,19-1,1682
3,North Carolina,21-1,1637
4,Kansas,21-1,1574
5,UCLA,20-2,1552
6,Georgetown,18-2,1433
7,Tennessee,19-2,1394
8,Wisconsin,18-3,1211
9,Stanford,18-3,1170
10,Butler,19-2,1065
11,Michigan State,19-3,975
12,Texas,17-4,910
13,Xavier,18-4,889
14,Indiana,18-3,885
15,Drake,20-1,817
16,Marquette,16-4,726
17,Washington State,17-4,683
18,Texas A&M,18-4,591
19,Connecticut,16-5,476
20,Kansas State,15-5,361
21,Pittsburgh,17-5,258
22,Notre Dame,16-4,224
23,Vanderbilt,18-4,171
24,Purdue,17-5,143
25,Saint Mary's,18-3,125
