Rank,Team,Record,Points
1,Kentucky,23-1,775
2,Syracuse,23-1,740
3,Ohio State,20-3,715
4,Missouri,21-2,673
5,North Carolina,20-3,639
6,Baylor,21-2,635
7,Murray State,23-0,536
8,Florida,19-4,536
9,Duke,19-4,525
10,Kansas,18-5,480
11,Georgetown,18-4,454
12,Michigan State,18-5,444
13,Saint Mary's,22-2,382
14,San Diego State,20-3,332
15,Creighton,21-3,316
16,UNLV,21-4,302
17,Florida State,16-6,247
18,Mississippi State,18-5,241
19,Marquette,19-5,239
20,Virginia,18-4,192
21,Harvard,20-2,153
22,Wisconsin,18-6,133
23,Indiana,18-6,93
24,Louisville,18-5,93
25,Michigan,17-7,79
