Rank,Team,Conf,BPI,PVA,Conf_rk,Record,RAW,RAW_rk,SOS,SOS_rk,Var,Var_rk
1,Louisville,Big East,91.3,18.8,1,29-5,78.7,3,62.6,47,7.0,346
2,Florida,SEC,89.0,16.7,1,26-7,80.7,2,58.2,100,10.6,337
3,Duke,ACC,88.5,16.4,1,27-5,74.9,7,63.7,31,10.3,340
4,Indiana,Big Ten,88.0,16.0,1,27-6,76.0,5,62.0,58,9.9,341
5,Gonzaga,WCC,87.4,15.5,1,31-2,81.5,1,55.9,111,8.4,344
6,Kansas,Big 12,85.5,14.2,1,29-5,75.3,6,60.2,86,12.9,325
7,Ohio State,Big Ten,84.8,13.8,2,26-7,70.6,21,64.2,28,11.7,334
8,Michigan,Big Ten,84.1,13.3,3,26-7,72.8,16,61.3,68,12.7,326
9,New Mexico,MW,84.0,13.3,1,29-5,67.4,34,66.5,8,12.4,329
10,Michigan State,Big Ten,83.7,13.1,4,25-8,66.5,38,67.2,3,9.4,342
11,Syracuse,Big East,83.5,13.0,2,26-9,68.3,29,65.1,16,13.1,322
12,Miami (FL),ACC,83.4,12.9,2,27-6,70.8,20,62.6,49,16.2,261
13,Creighton,MVC,83.1,12.8,1,27-7,73.6,12,59.5,89,15.0,292
14,Arizona,Pac-12,83.0,12.7,1,25-7,68.1,30,64.9,18,13.9,311
15,Pittsburgh,Big East,83.0,12.7,3,24-8,73.9,10,59.1,92,13.8,313
16,Georgetown,Big East,82.2,12.2,4,25-6,69.6,23,62.6,48,14.9,296
17,Oklahoma State,Big 12,81.4,11.8,2,24-8,67.6,33,63.8,30,13.0,323
18,Memphis,C-USA,81.0,11.6,1,30-4,73.0,15,58.1,103,11.8,333
19,Saint Louis,A 10,80.9,11.6,1,27-6,73.0,14,57.9,105,17.0,250
20,Marquette,Big East,80.4,11.3,5,23-8,63.4,59,67.0,5,12.3,330
21,VCU,A 10,80.2,11.2,2,26-8,69.5,24,60.7,76,13.2,321
22,NC State,ACC,80.1,11.1,3,24-10,65.3,47,64.8,20,13.8,314
23,Missouri,SEC,79.5,10.8,2,23-10,66.8,37,62.7,43,13.8,312
24,Wichita State,MVC,79.2,10.7,2,26-8,67.4,35,61.9,61,14.5,303
25,Wisconsin,Big Ten,79.2,10.7,5,23-11,63.9,57,65.2,15,14.5,302
26,UNLV,MW,78.8,10.5,2,25-9,65.0,48,63.8,29,13.8,316
27,San Diego State,MW,78.7,10.5,3,22-10,65.9,43,62.9,41,13.4,320
28,Colorado State,MW,78.5,10.4,4,25-8,67.9,32,60.6,79,14.3,307
29,UCLA,Pac-12,77.7,10.0,2,25-9,60.4,82,67.3,2,17.3,236
30,Kansas State,Big 12,77.6,10.0,3,27-7,66.4,39,61.3,70,14.7,298
31,Minnesota,Big Ten,77.6,10.0,6,20-12,61.7,73,65.9,12,20.1,119
32,North Carolina,ACC,77.5,9.9,4,24-10,63.0,62,64.5,26,17.7,217
33,Oregon,Pac-12,76.9,9.6,3,26-8,64.9,50,62.0,57,15.5,280
34,Ole Miss,SEC,76.9,9.6,3,26-8,68.0,31,58.9,94,15.8,271
35,Cincinnati,Big East,76.7,9.5,6,22-11,61.6,75,65.1,17,15.8,272
36,Notre Dame,Big East,76.6,9.5,7,25-9,64.8,51,61.8,62,18.0,206
37,Saint Mary's,WCC,76.5,9.5,2,27-6,70.2,22,56.3,110,15.6,277
38,Iowa State,Big 12,76.5,9.4,4,22-11,64.0,56,62.5,52,14.6,300
39,Colorado,Pac-12,75.8,9.1,4,21-11,58.7,93,67.0,4,17.5,228
40,Connecticut,Big East,75.6,9.1,8,20-10,58.9,90,66.7,6,15.2,291
41,Stanford,Pac-12,75.4,9.0,5,18-14,59.2,88,66.2,9,15.3,286
42,Butler,A 10,74.7,8.7,3,26-8,63.3,60,61.4,66,18.3,197
43,Iowa,Big Ten,74.6,8.6,7,21-12,62.8,64,61.8,63,13.5,318
44,Boise State,MW,74.5,8.6,5,21-10,64.1,54,60.3,82,17.2,237
45,Middle Tennessee,Sun Belt,74.5,8.6,1,28-5,73.4,13,51.1,137,15.3,285
46,Baylor,Big 12,74.5,8.6,5,18-14,61.7,74,62.8,42,17.1,245
47,Oklahoma,Big 12,74.4,8.5,6,20-11,59.7,85,64.7,23,15.9,269
48,Virginia,ACC,74.3,8.5,5,21-11,65.8,44,58.6,97,21.7,51
49,Belmont,OVC,73.7,8.2,1,26-6,73.9,9,49.8,146,17.1,247
50,Maryland,ACC,73.5,8.2,6,22-12,62.3,68,61.3,71,15.3,284
51,Akron,MAC,73.5,8.2,1,26-6,71.2,19,52.3,123,15.9,270
52,Kentucky,SEC,73.0,8.0,4,21-11,60.3,83,62.7,45,20.3,110
53,California,Pac-12,72.0,7.6,6,20-11,56.7,106,65.3,13,19.6,142
54,La Salle,A 10,72.0,7.5,4,21-9,61.8,70,60.1,87,17.7,215
55,Denver,WAC,71.8,7.5,1,21-9,69.5,25,52.3,124,19.8,135
56,Temple,A 10,71.5,7.4,5,23-9,60.1,84,61.4,67,16.7,254
57,Southern Miss,C-USA,71.3,7.3,2,25-9,66.3,40,55.1,114,15.2,289
58,Dayton,A 10,71.2,7.3,6,17-14,58.8,92,62.5,53,14.9,293
59,Bucknell,Patriot,71.1,7.2,1,28-5,73.7,11,47.5,172,15.5,279
60,Villanova,Big East,70.6,7.0,9,20-13,56.0,118,64.6,24,19.6,141
61,Valparaiso,Horizon,70.1,6.8,1,26-7,68.6,27,51.5,131,15.7,276
