Rank,Team,Record,Points
1,Ohio State,24-0,775
2,Kansas,22-1,732
3,Texas,20-3,721
4,Pittsburgh,21-2,678
5,Duke,21-2,642
6,San Diego State,23-1,614
7,Notre Dame,19-4,575
8,Brigham Young,22-2,564
9,Connecticut,18-4,496
10,Villanova,19-4,495
11,Georgetown,18-5,447
12,Purdue,18-5,401
13,Syracuse,20-4,369
14,Wisconsin,17-5,361
15,Louisville,18-5,350
16,Arizona,20-4,273
17,Utah State,22-2,257
18,Kentucky,16-6,246
19,Florida,18-5,243
20,Missouri,18-5,234
21,North Carolina,17-5,165
22,Texas A&M,17-5,128
23,Saint Mary's,20-4,64
24,Vanderbilt,16-6,39
25,Minnesota,16-7,37
